title,sides,dates
Bündnis von Gmunden (verlesen: *Brunndenau),"                   Kaiser, Russland",1514 VIII 4
Waffenstillstand von Moskau,"                   Polen, Russland",1522 XII 25_1523 I 4
Präliminarvertrag von Krakau,"                   Polen, Russland",1523 II 22
Waffenstillstand von Nowgorod,"                   Russland, Schweden",1524 IV 3
Waffenstillstand von Nowgorod,"                   Russland, Schweden",1537 III 25_IV 4
"Waffenstillstands-, Grenz- und Handelsvertrag von Nowgorod","                   Russland, Schweden",1561 VIII
Waffenstillstand von Dorpat,"                   Russland, Schweden",1564 IX
Waffenstillstand von Narva,"                   Russland, Schweden",1583 VIII 10
Ewiger Friede von Tjawzin,"                   Russland, Schweden",1595 V 18
Friedensvertrag von Teusina,"                   Polen, Russland, Schweden",1595 V 18
Waffenstillstand von Moskau,"                   Polen, Russland",1608 VII 20_30
Bündnisvertrag von Wiborg,"                   Russland, Schweden",1609 II 28
Waffenstillstand von Dederino,"                   Russland, Schweden",1616 II 22_III 4
Friedensvertrag von Stolbovo (Beta-Version),"                   Russland, Schweden",1617 II 27_III 9
Freundschaftsvertrag von Livny,"                   Russland, Siebenbürgen",1623 VI 28_VII 8
Friedensvertrag von Moskau,"                   Russland, Siebenbürgen",1627 XII 18_28
Freundschaftsvertrag von Walujki,"                   Russland, Siebenbürgen",1629 IX
Friedensvertrag von Poljanovka,"                   Polen, Russland",1634 V 17_27
Friedensvertrag (Ewiger Friede) von Poljanovka (Polanów),"                   Polen, Russland",1634 VI 14
Friedensvertrag von Ilančik,"                   Russland, Siebenbürgen",1638 IX
Bestätigung des Friedens von Stolbovo,                   Russland,1646 III 2
Nichteinlass und Vereinbarung von Stockholm,"                   Russland, Schweden",1649 X 19
Präliminarvertrag von Moskau,"                   Russland, Schweden",1658 V 25
Stillstandsvertrag von Valiesar,"                   Russland, Schweden",1658 XII 20
Friedensvertrag von Kardis,"                   Russland, Schweden",1661 VI 21
Friedensvertrag von Andrusovo,"                   Polen, Russland",1667 I 20_30
"Bestätigung des Vertrags von Andrusovo (1667 I 20), Radzin","                   Polen, Russland",1670 III 7_17
Vertrag über eine Verlängerung von Andrusovo (1667 I 20),"                   Polen, Russland",1672 IV 9
Waffenstillstand von Moskau,"                   Polen, Russland",1678 VIII 13
Ewiger Friede von Moskau,"                   Polen, Russland",1686 IV 26 / V 6
Angriffsbündnis von Wien,"                   Kaiser, Russland, Venedig",1697 I 29
Waffenstillstand von Karlowitz (Beta-Version),"                   Osmanisches Reich, Russland",1698 XII 25
Allianzvertrag von Moskau,"                   Russland, Sachsen / Polen",1699 XI 11_21
Friedensvertrag von Konstantinopel (Beta-Version),"                   Osmanisches Reich, Russland",1700 VI 13 / 1113 AH
Waffenstillstand von Konstantinopel,"                   Russland, Siebenbürgen",1700 VII 3
Allianzvertrag von Birse (Samogitien),"                   Russland, Sachsen / Polen",1701 II 26 / III 9
Bestätigung von Birse,                   Russland,1701 II 26
Bündnis von Schlotburg,"                   Russland, Sachsen / Polen",1703 VI 28
Bestätigung des Friedensvertrags von Schlotburg (1703 VI 28),"                   Russland, Sachsen / Polen",1703 X 1
Allianz von Moskau,"                   Russland, Sachsen / Polen",1703 XI 16
Angriffs- und Schutzbündnis von Narwa,"                   Russland, Sachsen / Polen",1704 VIII 19 / VIII 30
Bündnis von Warschau,"                   Russland, Siebenbürgen",1707 IX 4
Allianz von Thorn,"                   Russland, Sachsen / Polen",1709 X 9_20
Angriffs- und Schutzbündnis von Kopenhagen,"                   Dänemark, Russland",1709 X 11_22
Beitritt zu Cölln 1709 VII 15,                   Russland,1709 X 22_XI 1
Heiratsvertrag von St. Petersburg,"                   Livland (Herzogtum), Russland",1710 VI 10_21
Freundschaftsvertrag von Hannover,"                   Hannover, Russland",1710 VII 3
"Friedensvertrag, geschlossen am Pruth (Beta Version)","                   Osmanisches Reich, Russland",1711 VII 22 / 1123 AH
"Friedenskonditionen, unterzeichnet am Fluß Pruth","                   Osmanisches Reich, Russland",1711 VII 22
Friedensvertrag von Adrianopel,"                   Russland, Siebenbürgen",1713 VI 13_24
Konvention von Wandsbek zur Fortsetzung des Krieges gegen Schweden,"                   Dänemark, Russland, Sachsen / Polen",1713 VI 20
Friedensvertrag von Edirne (Beta-Version),"                   Osmanisches Reich, Russland",1713 X/XI / 1125 AH
Vertrag von Schwedt,"                   Preußen, Russland",1713 X 6
Allianzvertrag von St. Petersburg,"                   Preußen, Russland",1714 VI 1_12
Vertrag über Kriegshilfe,"                   Preußen, Russland",1715 IX 30_X 30 / XI 10
Allianzvertrag von Greifswald,"                   Hannover, Russland",1715 X 17_28
Bündnis- und Heiratsvertrag von St. Petersburg,"                   Mecklenburg - Schwerin, Russland",1716 I 22_II 2
Bündnisvertrag von Danzig,"                   Mecklenburg - Schwerin, Russland",1716 IV 8_19
Allianzvertrag von Amsterdam,"                   Frankreich, Preußen, Russland",1717 VIII 15
Friedensvertrag von Konstantinopel (Beta-Version),"                   Osmanisches Reich, Russland",1720 XI 16 / 1133 AH
Friedensvertrag von Nystad,"                   Russland, Schweden",1721 VIII 30
Friedensvertrag von Konstantinopel,"                   Osmanisches Reich, Russland",1721 X 7
Grenzvertrag von Wiborg,"                   Russland, Schweden",1723 III 30
Defensivallianz von Stockholm,"                   Russland, Schweden",1724 II 22
