ID,Label,Edits,Interest in History,Interest in Topic,Education in History,Experience
1,chris,266,3,1,2,3
2,Djr13,3,3,3,3,1
3,Czar,2,1,1,3,3
4,2600:1004:B141:CAF2:6530:6E54:D996:9333,2,1,1,3,1
5,Mdd,2,3,1,3,1
6,2A02:FE0:C600:1:41EE:9D9F:4926:8296,1,3,3,3,1
7,Warrenjs1,1,3,1,3,3
8,MJL,1,3,1,3,3
9,Edward,1,3,3,3,1
10,Download,1,3,3,3,1
11,?,1,3,3,3,3
12,Freeknowledgecreator,1,3,3,3,1
13,Chris the speller,1,2,2,3,1
14,Nick Number,1,2,2,3,1
15,Mitch Ames,1,3,3,3,3
16,InternetArchiveBot,1,3,3,3,3
17,Armbrust,1,3,3,2,1
18,Sfan00 IMG,1,3,3,3,3
19,OgreBot,1,3,3,3,3
20,Sadads,1,2,2,3,1
21,207.232.97.13,101,3,1,3,1
22,207.194.108.93,98,3,1,3,1
23,Sguardo,53,3,3,3,3
24,Bikinibomb,47,3,3,3,3
25,MisterAlbert,45,3,3,3,3
26,Scarpy,32,3,1,3,1
27,Fred Woofy,20,3,3,3,3
28,71.194.194.3,15,3,3,3,2
29,Mr Miles,15,3,3,1,3
30,Wikiklrsc,13,3,3,3,1
31,Fko,13,3,3,3,2
32,99.185.77.228,12,3,3,3,1
33,Rose bartram,12,3,3,3,3
34,Davidmack,10,3,1,3,3
35,SynedG,10,3,1,3,1
36,QuizzicalBee,8,3,3,3,1
37,24.94.69.35,7,3,1,3,2
38,64.56.230.40,7,3,3,3,2
39,Coffeepusher,6,3,3,3,1
40,Bookoflove,5,3,3,3,3
41,Signaleer,12,3,1,3,1
42,The howling cow,8,1,1,1,1
43,Billmckern,4,1,1,1,1
44,Bender the Bot,2,3,3,3,3
45,Noclador,2,1,1,3,1
46,Enthusiast01,2,3,3,3,3
47,KConWiki,2,3,3,3,3
48,Jon Kolbert,2,3,3,3,3
49,KolbertBot,2,3,3,3,3
50,Monkbot,2,3,3,3,3
51,2600:1702:1070:97F0:317D:876:162A:25AA,2,3,3,3,2
16,InternetArchiveBot,2,3,3,3,3
53,Altadenabandgeek,2,3,3,3,1
54,GreenC bot,1,3,3,3,3
55,68.144.213.204,1,3,3,3,2
56,RA0808,1,3,3,2,1
57,Freezingwedge,1,3,3,3,1
58,2601:89:C601:1FC:CB0:D3C7:830E:36C0,1,3,3,3,2
59,Cnwilliams,1,3,3,3,1
60,DatGuy,1,3,3,3,1
61,2601:8:B000:885:A98D:90D7:4D3A:6DCA,13,3,3,3,2
62,DM7,10,3,3,3,3
63,Dialectric,9,3,3,3,1
64,73.19.120.246,7,3,3,3,2
65,CollegeMeltdown,7,3,3,3,3
66,Dennis Bratland,6,3,1,3,1
67,ElKevbo,4,3,1,3,1
68,Mmartel5412,4,3,3,3,3
69,Srich32977,3,3,3,3,1
70,Travisl,3,2,3,2,1
71,Cydebot,3,3,3,3,3
72,Merchbow,3,3,3,3,3
73,The Anomebot2,2,3,3,3,3
74,Guy1890,2,3,3,3,1
