ID,Label,Edits
1,Rjensen,8
2,Student7,7
3,ClueBot NG,3
4,98.239.93.41,2
5,J. Finkelstein,2
6,Fenice,2
7,Durova,2
8,Ericdn,2
9,Michael Snow,2
10,Stevertigo,2
11,2601:603:207F:E5AE:0:0:0:3DFA,2
12,InverseHypercube,2
13,Wizardman,2
14,SmackBot,2
15,70.189.8.149,1
16,SimonP,1
17,Vera.nderä,1
18,70.104.82.30,1
19,Jmertel23,1
20,67.160.80.163,1
21,DrRC,165
22,Shadowkittie5460,142
23,Tanner-Christopher,104
24,ClueBot NG,52
25,Neale Monks,51
26,BiliousBob,46
27,Stevietheman,43
28,Northamerica1000,40
29,InternetArchiveBot,28
30,Ish ishwar,22
31,Calitalia,20
32,AnomieBOT,18
33,Smulthaup,16
34,Wtmitchell,14
35,Berean Hunter,14
36,152.44.46.94,14
37,ClueBot,13
38,Jaywubba1887,12
39,FrescoBot,12
40,Savvyjack23,12
41,173.172.236.251,21
42,Ghostofnemo,18
43,71.36.184.67,14
44,GermanJoe,9
45,BilCat,9
46,Quintucket,7
47,Jaywubba1887,7
48,Gothguy248,6
49,Bender the Bot,6
50,96.32.110.215,5
51,InternetArchiveBot,5
52,TI1880,5
53,Jas315,5
54,2600:1004:B151:F71D:5C2F:9539:FA38:DD92,5
55,Rene Bascos Sarabia Jr.,5
56,67.171.1.210,5
57,KolbertBot,4
58,Bumm13,4
59,Ottawahitech,4
60,2.235.76.103,3
61,MAAnglistikBielefeld,211
62,Modernist,105
63,Sparkit,16
64,ClueBot NG,10
65,Espngeek,8
66,Sourcerery,7
67,TheOldJacobite,5
68,1yesfan,5
69,Mandarax,5
70,Jprg1966,4
71,Alpine4now,4
72,Aocdnw,4
73,87.139.115.64,4
74,Mamod16,4
75,Sethcline22,3
76,208.44.170.101,3
77,173.184.187.118,3
78,Hmains,3
79,Tassedethe,3
80,Hermixtape,3
81,Rodw,20
82,82.152.37.198,17
83,Vernon39,12
84,91.110.62.211,12
85,217.43.48.236,10
86,Wire723,9
87,Anachronist,7
88,Jllm06,7
89,Jpbowen,5
90,Americanmuseum,4
91,InternetArchiveBot,3
92,AgarwalSumeet,2
93,Zzyzx11,2
94,Tim!,2
95,Monkbot,2
96,Ibadibam,2
97,Renata,2
98,GreenC bot,2
99,Duane E. Tressler,2
100,Ser Amantio di Nicolao,2
101,Modernist,171
102,Espngeek,19
103,ClueBot NG,12
104,Ewulp,10
105,JNW,8
106,168.9.82.3,6
107,173.196.31.146,6
108,MaggieArtHist,5
109,Srich32977,4
110,24.163.29.218,4
111,InternetArchiveBot,4
112,165.138.88.175,3
113,216.11.87.91,3
114,216.138.82.226,3
115,Randy Kryn,3
116,207.157.239.243,3
117,ClueBot,3
118,Orgio89,3
119,SmackBot,3
120,69.139.230.251,3
121,Midnightdreary,13
122,Sonicyouth86,13
123,Btitl2,3
124,Parkwells,3
125,Mild Bill Hiccup,2
126,Rbellin,2
127,76.4.251.195,2
128,96.5.17.7,2
129,Dugan Murphy,2
130,ClueBot,2
131,Modernist 2000,2
132,Aristophanes68,2
133,217.236.217.159,2
134,Illegitimate Barrister,2
135,93.149.215.101,2
136,71.81.74.166,2
137,24.250.249.103,2
138,72.159.128.131,2
139,Oshwah,2
140,Magioladitis,1
141,Whitebox,57
142,Corker1,23
143,Drmargi,6
144,Vanished user fj0390923roktg4tlkm2pkd,6
145,Rotterdarned,6
146,Froid,6
147,SmackBot,5
148,Beyond My Ken,5
149,MarnetteD,4
150,InternetArchiveBot,4
151,72.49.169.87,4
152,Jonkerz,3
153,Rolypolyman,3
154,2601:7:1F00:BC:FD93:26AC:763B:7081,3
155,Kind Tennis Fan,3
156,76.218.20.75,3
157,73.61.8.122,3
158,Monkbot,3
159,Uthbrian,3
160,213.81.86.171,3
161,Absecon 59,43
162,Absecon 49,22
163,Cydebot,8
164,86.204.209.234,6
165,86.204.80.85,3
166,Hmains,2
167,SmackBot,2
168,Lightbot,2
169,Garion96,1
170,RobertaBoucher,1
171,Ken Gallager,1
172,Johnpacklambert,1
173,AK456,1
174,DaronDierkes,1
175,65.216.241.163,1
176,Daniel Olsen,1
177,Doprendek,1
178,86.218.144.147,1
179,AnomieBOT,1
180,Fixer88,1
181,SouthernNights,35
182,Crablogger,28
183,Parkwells,9
184,WhisperToMe,3
185,Jpgordon,3
186,Schneelocke,2
187,AndrewWTaylor,2
188,71.192.230.52,2
189,24.214.200.83,2
190,Bellerophon5685,2
191,Randy Kryn,2
192,Sadads,2
193,Fadesga,2
194,82.36.28.41,2
195,Hmains,2
196,Robofish,2
197,Deisenbe,2
198,Mike Hayes,2
199,WPjcm,2
200,202.142.69.59,2
201,Modernist,185
202,Coldcreation,74
203,Sparkit,31
204,Sternjon,20
205,Carptrash,15
206,Sarasays,13
207,The Rambling Man,11
208,Åüñîçnøl,8
209,Station1,7
210,Hmains,6
211,Tyrenius,5
212,Mary Mark Ockerbloom,5
213,Bender the Bot,4
214,LauraMogil,4
215,JPLei,4
216,173.54.29.65,4
217,Spicemix,4
218,Mandarax,3
219,BEDownes,3
220,Jefgomes,3
221,Modernist,45
222,Carptrash,19
223,Mary Mark Ockerbloom,9
224,Coldcreation,6
225,Marsange,3
226,Mandarax,3
227,Spiessens,3
228,Welsh,3
229,DDupard,2
230,Amintly,2
231,NYCWikiKid,2
232,Marc-AntoineV,2
233,Hugo999,2
234,Sternjon,2
235,Wmpearl,1
236,Lepricavark,1
237,Epicgenius,1
238,Sarasays,1
239,Tyrenius,1
240,Jarble,1
241,Mary Mark Ockerbloom,100
242,Coldcreation,5
243,Filedelinkerbot,2
244,Hugo999,2
245,Jessicapierce,2
246,Hipal,2
247,Cydebot,1
248,Look2See1,1
249,JJMC89,1
250,Headbomb,1
251,Rynb99,1
252,Colonies Chris,1
253,Bender the Bot,1
254,SporkBot,1
255,Citation bot,1
256,Epicgenius,1
257,The Eloquent Peasant,1
258,Amintly,1
259,Doncram,1
260,DeprecatedFixerBot,1
261,Modernist,215
262,Shorn again,23
263,UBU07,17
264,Sam Sailor,14
265,Delabrede,13
266,Saposapo,10
267,FrescoBot,10
268,Hanska99,7
269,Epicgenius,7
270,Peaceray,6
271,Smilemean,5
272,Parakeet3,5
273,Gteichert,5
274,Jose Luis Ortiz Tellez,5
275,Rosiestep,4
276,Viewmont Viking,4
277,Dorfmanstudio,4
278,Ghosh45,4
279,InternetArchiveBot,4
280,14GTR,4
281,Modernist,57
282,John Loughery,28
283,Ewulp,13
284,Bus stop,9
285,Parkwells,7
286,Espngeek,6
287,63.201.174.5,6
288,ClueBot NG,5
289,174.46.254.226,5
290,24.3.185.184,5
291,68.207.177.233,5
292,Mandarax,5
293,204.185.2.251,4
294,Sparkit,4
295,58.225.32.60,4
296,Signedzzz,4
297,CliffC,3
298,Ngc15,3
299,Dexalkaline,3
300,Dsp13,3
301,Alphageekpa,16
302,Lockley,2
303,Dthomsen8,1
304,Waacstats,1
305,Hmainsbot1,1
306,DeprecatedFixerBot,1
307,Elonka,1
308,Fram,1
309,FairuseBot,1
310,RjwilmsiBot,1
311,Bethlehem18017point,1
312,Anne Delong,12
313,JBlackCoffee52,4
314,WereSpielChequers,2
315,I dream of horses,2
316,Rankersbo,2
317,Bearcat,2
318,JMHamo,2
319,Packer1028,2
320,DBD,1
321,Khush sohal,1
322,InternetArchiveBot,1
323,KolbertBot,1
324,Berek,1
325,216.109.2.124,1
326,Diannaa,1
327,Wyrvan,1
328,I grieve in stereo,1
329,JoeHebda,1
330,Postcard Cathy,1
331,Citation bot,1
332,SW3 5DL,62
333,Parkwells,22
334,Noleander,16
335,Malik Shabazz,13
336,Rain de Pebble,8
337,Mchavez,7
338,Deisenbe,7
339,Kristinndel,6
340,St Judas the Lazarene,5
341,YoshiHiroshi,5
342,24.5.67.150,5
343,North Shoreman,4
344,Enthusiast01,4
345,ClueBot NG,4
346,Stewart king,3
347,Mchanges!,3
348,Daedalus969,3
349,Stephan Schulz,3
350,AnomieBOT,3
351,FrescoBot,3
352,ReverendLogos,535
353,Michael Devore,9
354,BarrelProof,8
355,Nikki311,8
356,Dimadick,6
357,InternetArchiveBot,6
358,RMCD bot,4
359,Zanimum,4
360,69.126.54.182,3
361,Watervale101,3
362,Lasso jack,3
363,GoingBatty,3
364,CommonsDelinker,3
365,H3llBot,3
366,Marcocapelle,3
367,Woohookitty,3
368,Rjwilmsi,3
369,Bender the Bot,3
370,HCShannon,3
371,Monkbot,3
372,CaroleHenson,8
373,The Anomebot2,2
374,GreenC bot,2
375,Bender the Bot,1
376,Beyond My Ken,1
377,InternetArchiveBot,1
378,Cydebot,1
379,Transpoman,1
380,Dthomsen8,1
381,Magic links bot,1
382,Omnipaedista,55
383,Andreasmperu,8
384,171.33.200.4,6
385,194.83.111.225,6
386,2604:2000:1382:C5DD:C101:1C49:1BAD:27F5,5
387,Monkbot,4
388,InternetArchiveBot,3
389,AnomieBOT,3
390,Headbomb,3
391,Animalparty,3
392,2604:2000:1382:C5DD:412B:8A3B:3155:240,3
393,CrossPlains,3
394,66.242.67.149,3
395,78.33.42.130,3
396,FelipeCallado,3
397,Yobot,2
398,BB Septure,2
399,Oshwah,2
400,GoingBatty,2
401,82.20.69.225,2
402,Canton Viaduct,9
403,Ryomaandres,9
404,A. Carty,7
405,CliffC,6
406,SJLahey,6
407,Davidgoodheart,6
408,Rettens2,5
409,68.37.178.207,3
410,InternetArchiveBot,3
411,Johnbod,3
412,Verica Atrebatum,3
413,Badgernet,3
414,Alborzagros,3
415,Jsnueva1022,2
416,68.94.44.91,2
417,Finnusertop,2
418,Versageek,2
419,ClueBot NG,2
420,Veinor,2
421,Elf,2
422,Etacar11,10
423,Bmclaughlin9,8
424,Caltrop,8
